"D
a
t
e","Time
(pdt)","Wind
(mph)","Vis.
(mi.)",Weather,Sky Cond.,Temperature (ºF),,,,"Relative
Humidity","Wind
Chill
(°F)","Heat
Index
(°F)",Pressure,,Precipitation (in.),,
13,15:47,W 9,10,Fair,CLR,78,62,,,58%,NA,80,29.94,1013.4,,,
13,14:47,Vrbl 5,10,Fair,CLR,79,62,,,56%,NA,80,29.94,1013.5,,,
13,13:47,W 5,9,Fair,CLR,81,62,,,53%,NA,82,29.93,1013.4,,,
13,12:47,Vrbl 5,8,Fair,CLR,82,63,,,53%,NA,83,29.95,1013.9,,,
13,11:47,NA,9,Fair,CLR,81,62,,,53%,NA,82,29.96,1014.2,,,
13,9:47,Vrbl 3,7,Fair,CLR,75,61,,,62%,NA,NA,29.97,1014.7,,,
13,6:47,Calm,5,Overcast with Haze,OVC014,67,61,,,81%,NA,NA,29.96,1014.3,,,
13,5:47,Calm,7,Overcast,OVC011,66,61,,,84%,NA,NA,29.95,1013.8,,,
13,4:47,Calm,8,Overcast,OVC012,65,61,66,64,87%,NA,NA,29.93,1013.2,,,
13,3:47,Calm,9,Mostly Cloudy,BKN014,64,61,,,90%,NA,NA,29.93,1013.2,,,
13,2:47,Calm,9,Fair,CLR,65,61,,,87%,NA,NA,29.92,1013,,,
13,1:47,Calm,7,Fair,CLR,64,61,,,90%,NA,NA,29.92,1012.9,,,
13,0:47,Calm,8,Fair,CLR,65,61,,,87%,NA,NA,29.91,1012.7,,,
12,23:47,Calm,10,Fair,CLR,66,61,,,84%,NA,NA,29.92,1012.8,,,
12,22:47,Calm,10,Fair,CLR,66,61,76,66,84%,NA,NA,29.92,1012.9,,,
12,21:47,Vrbl 5,10,Fair,CLR,67,61,,,81%,NA,NA,29.91,1012.7,,,
12,20:47,Vrbl 3,10,Fair,CLR,68,60,,,76%,NA,NA,29.89,1012,,,
12,19:47,Calm,10,Fair,CLR,70,60,,,71%,NA,NA,29.88,1011.5,,,
12,18:47,W 6,10,Fair,CLR,74,60,,,62%,NA,NA,29.87,1011.2,,,
12,17:47,Vrbl 3,10,Fair,CLR,74,60,,,62%,NA,NA,29.87,1011.1,,,
12,16:47,Vrbl 3,10,Fair,CLR,75,61,79,74,62%,NA,NA,29.88,1011.6,,,
12,15:47,Vrbl 5,10,Fair,CLR,76,61,,,60%,NA,78,29.88,1011.7,,,
12,14:47,Vrbl 3,10,Fair,CLR,75,61,,,62%,NA,NA,29.9,1012.2,,,
12,13:47,Vrbl 7,10,Fair,CLR,77,62,,,60%,NA,79,29.91,1012.4,,,
12,12:47,Calm,10,Fair,CLR,79,62,,,56%,NA,80,29.92,1012.9,,,
12,11:47,Vrbl 3,10,Partly Cloudy,SCT026,76,62,,,62%,NA,78,29.93,1013.3,,,
12,10:47,Calm,5,A Few Clouds with Haze,FEW016,77,59,78,68,54%,NA,79,29.94,1013.4,,,
12,9:47,Calm,9,A Few Clouds,FEW026,73,58,,,59%,NA,NA,29.93,1013.3,,,
12,8:47,Vrbl 3,10,Overcast,OVC025,71,59,,,66%,NA,NA,29.94,1013.6,,,
12,7:47,SE 3,10,Overcast,OVC023,69,58,,,68%,NA,NA,29.93,1013.2,,,
"D
a
t
e","Time
(pdt)","Wind
(mph)","Vis.
(mi.)",Weather,Sky Cond.,Air,Dwpt,Max.,Min.,"Relative
Humidity","Wind
Chill
(°F)","Heat
Index
(°F)","altimeter
(in.)","sea level
(mb)",1 hr,3 hr,6 hr
,,,,,,,,6 hour,,,,,,,,,
,,,,,,Temperature (ºF),,,,,,,Pressure,,Precipitation (in.),,
